Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro,Target
Logistic Regression,Undersampling,{'model__C': 0.1},0.7174094639084074,0.8095832743586925,0.5062176735996479,0.7844474761255116,0.6153434552872717,0.8877840909090909,0.690274038793401,0.7766688672284572,0.6960061612578645,High BP
Logistic Regression,SMOTE Oversampling,{'model__C': 10},0.7192275563854356,0.8071327897495906,0.5083093286062487,0.7824010914051842,0.6162525184687709,0.8873289183222958,0.6936563815834886,0.7786300945296761,0.6974413064992235,High BP
Decision Tree,Undersampling,{'model__max_depth': 5},0.7116603606702373,0.7975202941038261,0.4997767857142857,0.7636425648021828,0.6041554236373449,0.8783249934158546,0.6906191758127976,0.7732436818919546,0.6886995527646498,High BP
Decision Tree,SMOTE Oversampling,{'model__max_depth': 5},0.7151491327207509,0.7906047464485966,0.5038822575037664,0.7414733969986358,0.600013799765404,0.87067053403856,0.7044936839925451,0.778816437101759,0.6894151184335815,High BP
Random Forest,Undersampling,"{'model__max_depth': 5, 'model__n_estimators': 100}",0.7188835929438356,0.8035055374009403,0.5083265401187842,0.7443724420190996,0.604110442183932,0.8725773546412785,0.7085663008214261,0.7820654451258999,0.693087943654916,High BP
Random Forest,SMOTE Oversampling,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.7295464596334332,0.8069957060811259,0.5222606975018551,0.720156889495225,0.6054480286738351,0.8662046473705667,0.7333471388141092,0.7942583732057417,0.6998532009397884,High BP
Logistic Regression,Undersampling,{'model__C': 0.1},0.752054863597398,0.8525155746668228,0.2577945520183787,0.7994910941475827,0.3898746742772056,0.9713183373371188,0.7468375685659913,0.8444135050469892,0.6171440896620974,Diabetes
Logistic Regression,SMOTE Oversampling,{'model__C': 0.1},0.7571478997529121,0.8483802944680914,0.2598146588037068,0.7847328244274809,0.390379746835443,0.969559585492228,0.7541139594760998,0.8483722687488193,0.6193760077921312,Diabetes
Decision Tree,Undersampling,{'model__max_depth': 3},0.6947708133730018,0.8159140608243045,0.2209175314036046,0.823409669211196,0.348369038647863,0.9722555368993364,0.6806224112840031,0.8007111579363251,0.5745400982920941,Diabetes
Decision Tree,SMOTE Oversampling,{'model__max_depth': 10},0.7930008572437094,0.830875397253344,0.277731616119651,0.6804071246819339,0.3944534592122732,0.9581807285076912,0.8053845292734804,0.8751634583219292,0.6348084587671012,Diabetes
Random Forest,Undersampling,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.7287075790429126,0.8485322170788531,0.2445009726170881,0.8315521628498728,0.377890841813136,0.9748250684514757,0.7173961714989365,0.8265299542142258,0.6022103980136809,Diabetes
Random Forest,SMOTE Oversampling,"{'model__max_depth': 10, 'model__n_estimators': 50}",0.8045988603701276,0.8471904215407378,0.2913024475524475,0.6783715012722646,0.4075829383886256,0.958570960340872,0.8184820329116758,0.8830047401950424,0.6452938392918339,Diabetes
Logistic Regression,Undersampling,{'model__C': 1},0.7459481568587351,0.8562224927387665,0.2615261044176706,0.814,0.3958662613981762,0.9721013949302536,0.7381969360441939,0.8391545010196485,0.6175103812089124,Cardio
Logistic Regression,SMOTE Oversampling,{'model__C': 10},0.7474308502479677,0.8531645737228771,0.2615184944841012,0.806,0.3949044585987261,0.9710339678984696,0.7407597243578792,0.8404083478710345,0.6176564032348804,Cardio
Decision Tree,Undersampling,{'model__max_depth': 10},0.7274400531724525,0.8116277977105757,0.2453753248738725,0.8025,0.3758342114506498,0.969657397449685,0.7188905974144314,0.825653268796808,0.6007437401237289,Cardio
Decision Tree,SMOTE Oversampling,{'model__max_depth': 10},0.8234061046065749,0.8329503815707046,0.3109724388975559,0.598,0.4091686623332193,0.9488321771781328,0.8490802437496441,0.8961889877374369,0.6526788250353281,Cardio
Random Forest,Undersampling,"{'model__max_depth': None, 'model__n_estimators': 100}",0.7335753361623805,0.8421789253374339,0.2545482342149518,0.8325,0.3898840885142255,0.9742664003687204,0.722307648499345,0.8295777872256925,0.609730937869959,Cardio
Random Forest,SMOTE Oversampling,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.8097550999539854,0.8511089327410444,0.3085650723025584,0.6935,0.4270977675134719,0.959306956983537,0.8229967538014693,0.8859393679306011,0.6565185677220365,Cardio
Neural Network,SMOTE,,0.7226,0.808,0.513,0.7335,0.6037,0.8694,0.7182,0.7866,0.6952,High BP
Neural Network,SMOTE,,0.8181,0.82,0.2939,0.5959,0.3936,0.9499,0.8425,0.893,0.6433,Diabetes
Neural Network,SMOTE,,0.8003,0.809,0.2948,0.6845,0.4121,0.9577,0.8135,0.8797,0.6459,Cardio
XGBoost,Undersampling,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 50}",0.7110215714215518,0.8103201571979055,0.4990917833101827,0.7965552523874488,0.613676673454641,0.8914665211062591,0.6763995306136537,0.7691824639899525,0.6914295687222968,High BP
XGBoost,SMOTE Oversampling,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50}",0.741683455358459,0.8065396178688122,0.5415468856947296,0.67462482946794,0.600804920646974,0.8537482753334356,0.76882722440809,0.8090654850542984,0.7049352028506362,High BP
XGBoost,Undersampling,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 100}",0.739297060158338,0.8533568957939355,0.2510486251359329,0.8223918575063613,0.3846703165912878,0.973943556816485,0.7301578417105116,0.8346129238643634,0.6096416202278256,Diabetes
XGBoost,SMOTE Oversampling,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50}",0.8554787958247189,0.8484367936709498,0.3479581505231184,0.5246819338422392,0.4184253246753247,0.9446288830922456,0.8918616366282324,0.9174871883457132,0.6679562565105189,Diabetes
XGBoost,Undersampling,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200}",0.736591850299095,0.8559178056836949,0.2572396796056685,0.835,0.3933113518605746,0.974745542205556,0.7253829944757674,0.8317769215699079,0.6125441367152413,Cardio
XGBoost,SMOTE Oversampling,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 200}",0.8582749629326653,0.849302693775272,0.3640845070422535,0.517,0.4272727272727272,0.9422214247263592,0.8971467623440971,0.9191318046560476,0.6732022659643875,Cardio
