Feature,Coefficient,Abs_Coefficient
Age Group_65 and older,1.7011109149196455,1.7011109149196455
Age Group_18 to 34 years,-1.223254271782128,1.223254271782128
Perceived health _Excellent,-1.0079822406998957,1.0079822406998957
Perceived health _Poor,0.902118726025766,0.902118726025766
Age Group_35 to 49 years,-0.7621685707818407,0.7621685707818407
Severity of Canabis Dependence_Unknown,0.7238784490580878,0.7238784490580878
Perceived health _Fair,0.5668684723206872,0.5668684723206872
Perceived health _Very good,-0.5651525379444357,0.5651525379444357
High blood cholesterol / lipids - took medication - 1 month_No,-0.5022523535732107,0.5022523535732107
Severity of Canabis Dependence_Takes cannabis & dependent on it,-0.4896284402064555,0.4896284402064555
Has diabetes_Unknown,-0.48474462556806236,0.48474462556806236
High blood pressure - took medication - 1 month_No,-0.4573787603944111,0.4573787603944111
Sex at Birth_Female,-0.4311613616981219,0.4311613616981219
High blood cholesterol / lipids - took medication - 1 month_Yes,0.4020089016858821,0.4020089016858821
Satisfaction with life in general _Unknown,-0.3732290644575543,0.3732290644575543
High blood pressure - took medication - 1 month_Yes,0.357135308506815,0.357135308506815
Perceived mental health _Poor,-0.353749243569705,0.353749243569705
Had a seasonal flu shot (excluding H1N1) - lifetime_Unknown,0.35023191801522086,0.35023191801522086
Used cannabis - 12 months_Unknown,-0.34208178330172895,0.34208178330172895
Sex at Birth_Male,0.33091790981071345,0.33091790981071345
Perceived mental health _Unknown,0.30517761904142265,0.30517761904142265
Severity of Canabis Dependence_Takes cannabis but no dependence,-0.29845488177757123,0.29845488177757123
"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)_Unknown",-0.28300160879221836,0.28300160879221836
Has respiratory chronic condition (asthma or COPD)_Unknown,-0.27841120842718403,0.27841120842718403
Smoking status_Current daily smoker,-0.25318935677984156,0.25318935677984156
Smoking status_Former occasional smoker (non-smoker now),0.2520313442908353,0.2520313442908353
Has high blood cholesterol / lipids_Unknown,0.24755045583978194,0.24755045583978194
Had a seasonal flu shot (excluding H1N1) - lifetime_Yes,-0.24591397692921377,0.24591397692921377
Has sleep apnea_No,-0.23557186155536933,0.23557186155536933
Satisfaction with life in general _Neither satisfied nor dissatisfied,0.2275893529368722,0.2275893529368722
Has respiratory chronic condition (asthma or COPD)_Yes,0.21975054600110003,0.21975054600110003
Perceived mental health _Fair,-0.21799874109544964,0.21799874109544964
Has high blood cholesterol / lipids_Yes,-0.21620503529010943,0.21620503529010943
Seasonal flu shot - last time_Valid skip,-0.20456139297331977,0.20456139297331977
Had a seasonal flu shot (excluding H1N1) - lifetime_No,-0.20456139297331977,0.20456139297331977
Has diabetes_No,0.19375343392415667,0.19375343392415667
Has diabetes_Yes,0.1907477397567239,0.1907477397567239
Age Group_50 to 64 years,0.18406847575686988,0.18406847575686988
Has chronic fatigue syndrome_No,-0.1776739059773782,0.1776739059773782
Considered suicide - last 12 months_Unknown,-0.17728352779169015,0.17728352779169015
Has a high blood pressure_Yes,-0.16877401613424195,0.16877401613424195
Smoking status_Current occasional smoker,-0.16190396325761605,0.16190396325761605
Used cannabis - 12 months_No,0.15695842678723554,0.15695842678723554
