Feature,Coefficient,Abs_Coefficient
Age Group_18 to 34 years,-1.4589969053177703,1.4589969053177703
Perceived health _Excellent,-1.0564776053672793,1.0564776053672793
Age Group_65 and older,1.0439003832559188,1.0439003832559188
Perceived health _Poor,0.6689738713816851,0.6689738713816851
High blood cholesterol / lipids - took medication - 1 month_No,-0.546149553787514,0.546149553787514
BMI classification for adults aged 18 and over (adjusted) - international_Underweight/ Normal weight,-0.5263578500275633,0.5263578500275633
Age Group_50 to 64 years,0.5147959830350329,0.5147959830350329
High blood pressure - took medication - 1 month_No,-0.4847291117330654,0.4847291117330654
Perceived health _Fair,0.47539710448194533,0.47539710448194533
High blood cholesterol / lipids - took medication - 1 month_Yes,0.4723291417949387,0.4723291417949387
Total Household Income - All Sources_Unknown,-0.44368238020052275,0.44368238020052275
High blood pressure - took medication - 1 month_Yes,0.41090869974049143,0.41090869974049143
Type of drinker_Regular drinker,-0.3609959371262323,0.3609959371262323
Perceived health _Very good,-0.3510925691150292,0.3510925691150292
Used cannabis - 12 months_Yes,-0.3051610586178194,0.3051610586178194
Perceived mental health _Excellent,0.30482845444530776,0.30482845444530776
Sex at Birth_Female,-0.28684831440812725,0.28684831440812725
Satisfaction with life in general _Unknown,0.27537879952548855,0.27537879952548855
Used cannabis - 12 months_No,0.2719796168109879,0.2719796168109879
Has sleep apnea_No,-0.2679509715476929,0.2679509715476929
BMI classification for adults aged 18 and over (adjusted) - international_Unknown,0.24912231607467472,0.24912231607467472
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_Once a week,-0.23561487186340802,0.23561487186340802
Smoking status_Current occasional smoker,-0.234720531709175,0.234720531709175
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_More than once a week,-0.2294674800813344,0.2294674800813344
Type of drinker_Did not drink in the last 12 months,0.22792084621425124,0.22792084621425124
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_Valid skip,0.22792084621425124,0.22792084621425124
Smoking status_Current daily smoker,-0.22379341146740359,0.22379341146740359
"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)_Yes",-0.21803210024784464,0.21803210024784464
"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)_Unknown",0.213374160541153,0.213374160541153
Sex at Birth_Male,0.21302790241569017,0.21302790241569017
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_Never,0.21081428465526286,0.21081428465526286
"BMI classification for adults aged 18 and over (adjusted) - international_Overweight / Obese - Class I, II, III",0.20341512196054443,0.20341512196054443
"Has an anxiety disorder (phobia, OCD, panic)_Yes",-0.20153830475137638,0.20153830475137638
Has sleep apnea_Yes,0.1941305595550256,0.1941305595550256
Satisfaction with life in general _Very Satisfied,-0.19236144073799902,0.19236144073799902
Perceived health _Good,0.18937878662596427,0.18937878662596427
Perceived mental health _Fair,-0.17449432650819408,0.17449432650819408
Age Group_35 to 49 years,-0.17351987296578675,0.17351987296578675
Has high blood cholesterol / lipids_No,-0.16356211493404044,0.16356211493404044
Severity of Canabis Dependence_Takes cannabis & dependent on it,-0.16293543948553788,0.16293543948553788
Smoking status_Former daily smoker (non-smoker now),0.16093210960847953,0.16093210960847953
"Total Household Income - All Sources_$20,000 to $39,999",0.1588690150434711,0.1588690150434711
Severity of Canabis Dependence_Takes cannabis but no dependence,0.15882595671391067,0.15882595671391067
Perceived mental health _Unknown,-0.14947667305530316,0.14947667305530316
Has chronic fatigue syndrome_Yes,-0.1437199899004514,0.1437199899004514
Seasonal flu shot - last time_Unknown,-0.14046276863166313,0.14046276863166313
Smoking status_Former occasional smoker (non-smoker now),0.13828821747209552,0.13828821747209552
Seasonal flu shot - last time_Less than 1 year ago,0.1381348991800062,0.1381348991800062
"Total Household Income - All Sources_No income or less than $20,000",0.13802960716511098,0.13802960716511098
Smoking status_Non-smoker (abstainer or experimental),0.13597782359383148,0.13597782359383148
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_2-3 times a month,-0.1353208880356881,0.1353208880356881
"Has an anxiety disorder (phobia, OCD, panic)_No",0.12771789275871928,0.12771789275871928
Satisfaction with life in general _Satisfied,-0.11838045343284383,0.11838045343284383
"Total Household Income - All Sources_$40,000 to $59,999",0.11337396242282134,0.11337396242282134
Considered suicide - last 12 months_Yes,0.10850726028618989,0.10850726028618989
Considered suicide - last 12 months_No,-0.10814894895104195,0.10814894895104195
Has respiratory chronic condition (asthma or COPD)_Yes,-0.10721276027825244,0.10721276027825244
Perceived mental health _Good,-0.10060887568671677,0.10060887568671677
Seasonal flu shot - last time_Valid skip,-0.09382425616627589,0.09382425616627589
Had a seasonal flu shot (excluding H1N1) - lifetime_No,-0.09382425616627589,0.09382425616627589
"Total Household Income - All Sources_$80,000 or more",-0.0927792677382551,0.0927792677382551
Seasonal flu shot - last time_1 year to less than 2 years ago,0.08304382912994175,0.08304382912994175
Has respiratory chronic condition (asthma or COPD)_Unknown,0.08287517313861921,0.08287517313861921
Has a high blood pressure_Yes,-0.08123397519987753,0.08123397519987753
Usual place for immediate care for minor problem_Yes,-0.0783923719454543,0.0783923719454543
"Has a mood disorder (depression, bipolar, mania, dysthymia)_No",-0.07565845154626226,0.07565845154626226
Considered suicide - lifetime_No,-0.07437695431377689,0.07437695431377689
Considered suicide - last 12 months_Unknown,-0.07417872332766834,0.07417872332766834
Has chronic fatigue syndrome_No,0.06989957790760899,0.06989957790760899
"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)_No",-0.06916247228585501,0.06916247228585501
Perceived mental health _Poor,0.06620805638494962,0.06620805638494962
Severity of Canabis Dependence_No cannabis use,-0.06488529252385088,0.06488529252385088
Has high blood cholesterol / lipids_Yes,0.0629341035288068,0.0629341035288068
Seasonal flu shot - last time_2 years ago or more,-0.06071211550456525,0.06071211550456525
Type of drinker_Occasional drinker,0.059254678919190465,0.059254678919190465
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_Less than once a month,0.059152930206758755,0.059152930206758755
"Marital Status_Widowed/Divorced/Separated/Single, never married",-0.05257282106032736,0.05257282106032736
"Total Household Income - All Sources_$60,000 to $79,999",0.05236865131474907,0.05236865131474907
Smoking status_Unknown,-0.05050461949058572,0.05050461949058572
Has respiratory chronic condition (asthma or COPD)_No,-0.04948282485273597,0.04948282485273597
Used cannabis - 12 months_Unknown,-0.04063897018566787,0.04063897018566787
Pain health status_Has usual pain or discomfort,-0.03728208646004111,0.03728208646004111
Pain health status_No usual pain or discomfort,-0.03653832553248409,0.03653832553248409
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_Once a month,0.028694766911281172,0.028694766911281172
Has high blood cholesterol / lipids_Unknown,0.026807599412763648,0.026807599412763648
Satisfaction with life in general _Dissatisfied,-0.023468405717971024,0.023468405717971024
Marital Status_Married/Common-law,-0.021247590932279927,0.021247590932279927
Perceived mental health _Very good,-0.02027704757266806,0.02027704757266806
Considered suicide - lifetime_Yes,0.02015907580834598,0.02015907580834598
Considered suicide - lifetime_Unknown,-0.01960253348701491,0.01960253348701491
Had a seasonal flu shot (excluding H1N1) - lifetime_Yes,0.016901456592974602,0.016901456592974602
Satisfaction with life in general _Neither satisfied nor dissatisfied,-0.014988911629285201,0.014988911629285201
Has a high blood pressure_No,0.0074135632070522805,0.0074135632070522805
Severity of Canabis Dependence_Unknown,-0.004825636696993638,0.004825636696993638
Usual place for immediate care for minor problem_No,0.004571959952806159,0.004571959952806159
Had a seasonal flu shot (excluding H1N1) - lifetime_Unknown,0.003102387580749236,0.003102387580749236
"Has a mood disorder (depression, bipolar, mania, dysthymia)_Yes",0.001838039553703621,0.001838039553703621
